"datetime","demand_fcast","demand","tempsim"
"130",2020-01-06 09:30:00,6.03684864450997,6.156,8.12365919074744
"131",2020-01-06 10:30:00,5.9092108225961,6.066,14.4257721189069
"132",2020-01-06 11:30:00,5.9316335439685,6.05,16.7382205957536
"133",2020-01-06 12:30:00,5.87753660098736,5.965,16.4109282636177
"134",2020-01-06 13:30:00,5.8526134197782,5.94,16.5296061024899
"135",2020-01-06 14:30:00,5.81961748146931,5.91,19.1064099820131
"136",2020-01-06 15:30:00,5.87540800134339,5.946,18.4938527893343
"137",2020-01-06 16:30:00,6.09688155331528,6.038,17.9666324726668
"138",2020-01-06 17:30:00,6.44949187797176,6.204,19.3949940947978
"139",2020-01-06 18:30:00,6.6429698223457,6.389,19.1539603093934
"140",2020-01-06 19:30:00,6.22742884085013,6.318,16.7500713153644
"141",2020-01-06 20:30:00,6.04676797663425,6.099,17.0533395364626
"142",2020-01-06 21:30:00,5.71448709701543,5.824,15.1025445141483
"143",2020-01-06 22:30:00,5.34902086581566,5.623,13.7468009132281
"144",2020-01-06 23:30:00,5.15116300551313,5.239,12.4506340680026
"145",2020-01-07 00:30:00,4.87524465416339,4.822,10.9903305283183
"146",2020-01-07 01:30:00,4.53878297928872,4.583,10.1884726359972
"147",2020-01-07 02:30:00,4.42688108720218,4.466,13.12601168532
"148",2020-01-07 03:30:00,4.35106722770458,4.43,14.363761993844
"149",2020-01-07 04:30:00,4.35665223564851,4.473,10.2174418099268
"150",2020-01-07 05:30:00,4.51624802832327,4.649,8.94375505268778
"151",2020-01-07 06:30:00,4.83283495718995,5.162,10.8910785995526
"152",2020-01-07 07:30:00,5.26037790220588,5.74,13.4846229729905
"153",2020-01-07 08:30:00,5.72810094870505,6.16,13.8522578204343
"154",2020-01-07 09:30:00,6.01938793608878,6.304,14.5517282549996
"155",2020-01-07 10:30:00,6.10169145488695,6.155,14.3935782741145
"156",2020-01-07 11:30:00,6.06993949074469,5.995,13.1679240070978
"157",2020-01-07 12:30:00,5.97645666763634,5.818,12.181218176685
"158",2020-01-07 13:30:00,5.92702240571585,5.723,17.8020695886524
"159",2020-01-07 14:30:00,5.88928556777919,5.634,18.498327008325
"160",2020-01-07 15:30:00,5.9234742594939,5.678,16.4834799630789
"161",2020-01-07 16:30:00,6.13767177944162,5.813,16.0501613128169
"162",2020-01-07 17:30:00,6.57864911949861,6.187,18.181893853258
"163",2020-01-07 18:30:00,6.73641293294026,6.503,16.9559007833021
"164",2020-01-07 19:30:00,6.24874047335407,6.407,15.9495821473975
"165",2020-01-07 20:30:00,6.06598122598335,6.164,17.5691458640731
"166",2020-01-07 21:30:00,5.75866870299076,5.927,18.4917655432217
"167",2020-01-07 22:30:00,5.37270618023632,5.761,16.924060109859
"168",2020-01-07 23:30:00,5.12513879804477,5.395,18.3569069844599
"169",2020-01-08 00:30:00,4.86080719924529,4.978,17.1823439531175
"170",2020-01-08 01:30:00,4.52921560711971,4.736,17.9846202632978
